,created_at,screen_name,text,lang,retweet_count,reply_count,like_count,quote_count,id,author_id,conversation_id,in_reply_to_user_id,geo,entities,sentiment
50,2019-02-12T23:24:14.000Z,None,"Online Puzzles, Games &amp; Quizzes | GetPaidto (GPT) https://t.co/DFRDtqsD0Z",en,0,0,0,0,1095463621163798529,1090074852558434306,1095463621163798529,,,"{'urls': [{'start': 54, 'end': 77, 'url': 'https://t.co/DFRDtqsD0Z', 'expanded_url': 'http://games.getpaidto.com/', 'display_url': 'games.getpaidto.com'}], 'annotations': [{'start': 38, 'end': 46, 'probability': 0.5238, 'type': 'Other', 'normalized_text': 'GetPaidto'}]}",3.9845036879340143
51,2019-02-12T22:41:00.000Z,None,".@TheGPTGroup's managing director warns housing downturn could weigh on retail, @NickLenaghan reports. https://t.co/w8jnagdaGZ #retail #office #ausproperty #ausbiz",en,0,0,0,0,1095452739813797889,2609156004,1095452739813797889,,,"{'hashtags': [{'start': 127, 'end': 134, 'tag': 'retail'}, {'start': 135, 'end': 142, 'tag': 'office'}, {'start': 143, 'end': 155, 'tag': 'ausproperty'}, {'start': 156, 'end': 163, 'tag': 'ausbiz'}], 'mentions': [{'start': 1, 'end': 13, 'username': 'TheGPTGroup', 'id': '52260887'}, {'start': 80, 'end': 93, 'username': 'NickLenaghan', 'id': '1336614722'}], 'urls': [{'start': 103, 'end': 126, 'url': 'https://t.co/w8jnagdaGZ', 'expanded_url': 'https://www.afr.com/real-estate/sydney-melbourne-office-towers-take-gpt-profit-higher-20190211-h1b35g', 'display_url': 'afr.com/real-estate/sy…'}]}",2.209121155637907
52,2019-02-12T22:27:52.000Z,None,Should You Buy Shares in S&amp;P/ASX 50 Heavyweight GPT Group (ASX:GPT)? - https://t.co/KAAR5CWGsd #property #risk #australia #investing $GPT https://t.co/VePn11JsRv,en,1,0,3,1,1095449437185368065,915003124716154880,1095449437185368065,,,"{'hashtags': [{'start': 99, 'end': 108, 'tag': 'property'}, {'start': 109, 'end': 114, 'tag': 'risk'}, {'start': 115, 'end': 125, 'tag': 'australia'}, {'start': 126, 'end': 136, 'tag': 'investing'}], 'cashtags': [{'start': 137, 'end': 141, 'tag': 'GPT'}], 'urls': [{'start': 75, 'end': 98, 'url': 'https://t.co/KAAR5CWGsd', 'expanded_url': 'https://www.raskmedia.com.au/2019/02/13/should-you-buy-shares-in-sp-asx-50-heavyweight-gpt-group-asxgpt/', 'display_url': 'raskmedia.com.au/2019/02/13/sho…'}, {'start': 142, 'end': 165, 'url': 'https://t.co/VePn11JsRv', 'expanded_url': 'https://twitter.com/RaskMedia/status/1095449437185368065/photo/1', 'display_url': 'pic.twitter.com/VePn11JsRv', 'media_key': '3_1095449433750200320'}]}",2.065228972237193
53,2019-02-12T22:13:40.000Z,None,"LIVE - 1 hour left!!

Amazing starting position in CIV6 - going for 1000+ GPT with Rome!

Stop by; follow/raid/host:
https://t.co/VBvF9sF8rq

@SupStreamers 
#supportsmallstreamers  
#StreamersConnected 
#SmallStreamersConnect 
#SmallStreamerCommunity",en,2,0,1,0,1095445862761738240,965130890270556160,1095445862761738240,,,"{'hashtags': [{'start': 157, 'end': 179, 'tag': 'supportsmallstreamers'}, {'start': 182, 'end': 201, 'tag': 'StreamersConnected'}, {'start': 203, 'end': 225, 'tag': 'SmallStreamersConnect'}, {'start': 227, 'end': 250, 'tag': 'SmallStreamerCommunity'}], 'mentions': [{'start': 142, 'end': 155, 'username': 'SupStreamers', 'id': '1495689026249977861'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/VBvF9sF8rq', 'expanded_url': 'http://twitch.tv/the_travesty_x', 'display_url': 'twitch.tv/the_travesty_x', 'status': 200, 'unwound_url': 'https://www.twitch.tv/the_travesty_x'}], 'annotations': [{'start': 51, 'end': 54, 'probability': 0.7734, 'type': 'Other', 'normalized_text': 'CIV6'}, {'start': 83, 'end': 86, 'probability': 0.9497, 'type': 'Place', 'normalized_text': 'Rome'}]}",3.130379750759544
54,2019-02-12T22:04:52.000Z,None,"&lt;script type=""text/javascript""&gt;googletag.cmd.push(function(){googletag.display(""div-gpt-ad-futbol_champions-league_dir_f3_5c631284e2704e93648b4582"");}... https://t.co/r40w0LByCz",en,0,0,0,0,1095443645426216966,3113591403,1095443645426216966,,,"{'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/r40w0LByCz', 'expanded_url': 'http://copiajuridica.es/2019/02/12/un-psg-diabolico', 'display_url': 'copiajuridica.es/2019/02/12/un-…'}], 'annotations': [{'start': 37, 'end': 45, 'probability': 0.8769, 'type': 'Other', 'normalized_text': 'googletag'}, {'start': 67, 'end': 75, 'probability': 0.7884, 'type': 'Other', 'normalized_text': 'googletag'}]}",2.8689588361246208
55,2019-02-12T21:06:47.000Z,None,"LIVE - 4/6 hours in!

Amazing starting position in CIV6 - going for 1000+ GPT with Rome!

Stop by; follow/raid/host:
https://t.co/VBvF9sF8rq

@SupStreamers
#supportsmallstreamers  
#StreamersConnected 
#SmallStreamersConnect 
#SmallStreamerCommunity",en,2,0,5,0,1095429028402454528,965130890270556160,1095429028402454528,,,"{'hashtags': [{'start': 156, 'end': 178, 'tag': 'supportsmallstreamers'}, {'start': 181, 'end': 200, 'tag': 'StreamersConnected'}, {'start': 202, 'end': 224, 'tag': 'SmallStreamersConnect'}, {'start': 226, 'end': 249, 'tag': 'SmallStreamerCommunity'}], 'mentions': [{'start': 142, 'end': 155, 'username': 'SupStreamers', 'id': '1495689026249977861'}], 'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/VBvF9sF8rq', 'expanded_url': 'http://twitch.tv/the_travesty_x', 'display_url': 'twitch.tv/the_travesty_x', 'status': 200, 'unwound_url': 'https://www.twitch.tv/the_travesty_x'}], 'annotations': [{'start': 51, 'end': 54, 'probability': 0.762, 'type': 'Other', 'normalized_text': 'CIV6'}, {'start': 83, 'end': 86, 'probability': 0.9428, 'type': 'Place', 'normalized_text': 'Rome'}]}",4.061248690919987
56,2019-02-12T21:03:11.000Z,None,"&lt;script type=""text/javascript""&gt;googletag.cmd.push(function(){googletag.display(""div-gpt-ad-futbol_champions-league_dir_f3_5c631284e2704e93648b4582"");}... https://t.co/QS9Q7OlFJK",en,0,0,0,0,1095428124173627392,3113591403,1095428124173627392,,,"{'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/QS9Q7OlFJK', 'expanded_url': 'http://copiajuridica.es/2019/02/12/hay-de-todo-menos-goles-en-old-trafford', 'display_url': 'copiajuridica.es/2019/02/12/hay…'}], 'annotations': [{'start': 37, 'end': 45, 'probability': 0.8769, 'type': 'Other', 'normalized_text': 'googletag'}, {'start': 67, 'end': 75, 'probability': 0.7884, 'type': 'Other', 'normalized_text': 'googletag'}]}",2.8168043254414585
57,2019-02-12T20:56:48.000Z,None,"All Games Puzzles, Games &amp; Quizzes | GetPaidto (GPT) https://t.co/gUySQRz5De",en,0,0,0,0,1095426517000163330,1011305244054249475,1095426517000163330,,,"{'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/gUySQRz5De', 'expanded_url': 'http://games.getpaidto.com/category/allgames/', 'display_url': 'games.getpaidto.com/category/allga…'}], 'annotations': [{'start': 41, 'end': 49, 'probability': 0.5828, 'type': 'Other', 'normalized_text': 'GetPaidto'}]}",4.068755770878301
58,2019-02-12T20:02:16.000Z,None,"&lt;script type=""text/javascript""&gt;googletag.cmd.push(function(){googletag.display(""div-gpt-ad-futbol_champions-league_dir_f3_5c631284e2704e93648b4582"");}... https://t.co/HvUcPCLnyX",en,0,0,0,0,1095412795158528000,3113591403,1095412795158528000,,,"{'urls': [{'start': 160, 'end': 183, 'url': 'https://t.co/HvUcPCLnyX', 'expanded_url': 'http://copiajuridica.es/2019/02/12/unitedpsg-en-directo', 'display_url': 'copiajuridica.es/2019/02/12/uni…'}], 'annotations': [{'start': 37, 'end': 45, 'probability': 0.8769, 'type': 'Other', 'normalized_text': 'googletag'}, {'start': 67, 'end': 75, 'probability': 0.7884, 'type': 'Other', 'normalized_text': 'googletag'}]}",2.8403913574490853
59,2019-02-12T19:56:05.000Z,None,@gpt_team Thank you so much for crunching for all the projects. Martin you have got two new batches 180 days Mapping Cancer markers and 90 days Microbiome Immunity Project. Hjerre 180 days for Microbiome Immunity Project and 90 days OpenZika. Thanks. 🙏👏,en,0,0,0,0,1095411239054917633,3090915369,1095411239054917633,3090915369.0,,"{'annotations': [{'start': 64, 'end': 69, 'probability': 0.6085, 'type': 'Other', 'normalized_text': 'Martin'}, {'start': 117, 'end': 122, 'probability': 0.5611, 'type': 'Other', 'normalized_text': 'Cancer'}, {'start': 144, 'end': 170, 'probability': 0.8555, 'type': 'Other', 'normalized_text': 'Microbiome Immunity Project'}, {'start': 173, 'end': 178, 'probability': 0.8207, 'type': 'Other', 'normalized_text': 'Hjerre'}, {'start': 193, 'end': 219, 'probability': 0.8422, 'type': 'Other', 'normalized_text': 'Microbiome Immunity Project'}, {'start': 233, 'end': 240, 'probability': 0.8533, 'type': 'Other', 'normalized_text': 'OpenZika'}]}",3.6522511522721706
